,money,recent,frequency,cluster
851,3865.0,83,3,0
852,2094.0,90,1,1
853,431.5,167,1,1
854,4464.5,179,1,1
855,1405.5,71,1,1
856,2465.0,6,1,2
857,1318.5,91,2,1
858,2803.0,142,1,1
859,2320.0,148,1,1
860,3232.5,35,2,0
861,842.0,151,1,1
862,2583.5,145,1,1
863,929.0,71,1,1
864,1146.0,185,1,1
865,7818.0,42,3,0
866,10922.5,128,6,0
867,22678.5,9,10,0
868,2.0,98,1,1
869,1804.5,14,2,2
870,2360.0,85,3,0
871,982.0,92,2,1
872,622.0,178,1,1
873,3628.0,32,2,0
874,3203.0,115,2,0
875,516.0,127,1,1
876,2559.0,153,1,1
877,671.0,56,1,1
878,656.0,149,1,1
879,876.5,77,1,1
880,12.0,62,1,1
881,2030.0,186,1,1
882,1033.0,146,1,1
883,891.0,170,1,1
884,1379.5,29,1,2
885,1517.0,155,1,1
886,1147.0,53,1,1
887,2153.5,61,2,0
888,1611.5,166,1,1
889,1841.5,151,1,1
890,665.0,153,1,1
891,1127.0,34,1,2
892,1493.5,131,3,0
893,1412.0,33,1,2
894,685.5,102,1,1
895,1874.0,54,1,1
896,1620.0,103,1,1
897,2290.0,20,4,0
898,1578.0,103,1,1
899,1001.0,20,1,2
900,540.0,150,1,1
901,2030.0,191,1,1
902,3250.0,7,3,0
903,1116.0,92,1,1
904,2439.0,166,2,1
905,798.0,143,1,1
906,1301.0,118,1,1
907,1918.0,146,1,1
908,955.5,106,1,1
909,5822.0,154,1,1
910,521.5,175,1,1
911,1315.0,175,1,1
912,1610.0,131,1,1
913,733.0,72,1,1
914,454.0,125,1,1
915,10669.5,104,7,0
916,5519.5,112,4,0
917,1182.0,97,1,1
918,2207.0,139,2,1
919,1061.0,43,2,2
920,1093.0,152,1,1
921,1042.0,90,1,1
922,499.0,40,1,2
923,730.0,105,1,1
924,613.0,191,1,1
925,1310.0,42,1,1
926,1335.0,7,2,2
927,7041.0,13,9,0
928,559.0,111,1,1
929,1228.0,62,1,1
930,1094.0,16,1,2
931,1154.5,125,1,1
932,1227.0,101,2,1
933,640.0,133,1,1
934,961.0,69,1,1
935,1780.0,79,1,1
936,1304.0,166,1,1
937,700.0,78,1,1
938,3617.0,22,4,0
939,2433.5,8,2,2
940,956.0,132,1,1
941,886.0,145,1,1
942,2257.0,26,2,0
943,1233.0,154,1,1
944,655.0,54,1,1
945,1510.0,98,2,1
946,1174.0,155,1,1
947,1152.0,172,1,1
948,1331.0,133,1,1
949,3697.0,164,1,1
950,497.0,146,1,1
951,1160.0,145,2,1
952,1347.0,114,1,1
953,426.0,41,1,2
954,1021.0,27,1,2
955,2174.0,77,2,0
956,1106.0,187,1,1
957,6209.84,178,1,1
958,810.5,190,1,1
959,2297.0,100,3,0
960,1374.5,144,1,1
961,1109.0,100,1,1
962,10137.0,17,4,0
963,709.5,174,1,1
