会员编号,money,recent,frequency
1035612922,372.5,179,1
1035612928,2866.0,143,2
1035612948,24427.34,27,10
1035613029,2643.0,166,1
1035613057,1867.0,72,1
1035613064,2001.0,160,1
1035613075,2033.5,39,2
1035613093,1480.5,73,1
1035613095,905.0,92,1
1035613116,3865.0,83,3
1035613150,2094.0,90,1
1035613162,431.5,167,1
1035613222,4464.5,179,1
1035613239,1405.5,71,1
1035613252,2465.0,6,1
1035613259,1318.5,91,2
1035691659,2803.0,142,1
1035924016,929.0,71,1
1036062484,2.0,98,1
1036084479,1804.5,14,2
1036142654,2360.0,85,3
1036143471,982.0,92,2
1036144747,622.0,178,1
1036145840,3628.0,32,2
1036150893,516.0,127,1
1036152032,2559.0,153,1
1036152258,671.0,56,1
1036153730,656.0,149,1
1036154966,876.5,77,1
1036155415,12.0,62,1
1036165918,1033.0,146,1
1036165995,891.0,170,1
1036167323,1379.5,29,1
1036169289,1517.0,155,1
1036169766,1147.0,53,1
1036173053,2153.5,61,2
1036173537,1611.5,166,1
1036173654,1841.5,151,1
1036176075,665.0,153,1
1036176653,1127.0,34,1
1036179275,1493.5,131,3
1036190840,1412.0,33,1
1036193395,1874.0,54,1
1036194663,1620.0,103,1
1036230226,1578.0,103,1
1036231158,1001.0,20,1
1036231482,540.0,150,1
1036233041,2030.0,191,1
1036233726,3250.0,7,3
1036235689,1116.0,92,1
1036235873,2439.0,166,2
1036237473,798.0,143,1
1036248297,1301.0,118,1
1036249432,1918.0,146,1
1036252013,955.5,106,1
1036253396,5822.0,154,1
1036255916,521.5,175,1
1036262712,1610.0,131,1
1036262797,733.0,72,1
1036266020,454.0,125,1
1036268643,10669.5,104,7
1036269597,5519.5,112,4
1036312410,1182.0,97,1
1036314777,2207.0,139,2
1036317965,1061.0,43,2
1036323628,1093.0,152,1
1036330038,1042.0,90,1
1036330777,499.0,40,1
1036331865,730.0,105,1
1036333713,1310.0,42,1
1036333721,1335.0,7,2
1036333883,7041.0,13,9
1036334906,559.0,111,1
1036335519,1228.0,62,1
1036337003,1094.0,16,1
1036340470,1154.5,125,1
1036342805,1227.0,101,2
1036351644,640.0,133,1
1036372347,1304.0,166,1
1036377430,3617.0,22,4
1036378839,2433.5,8,2
1036379215,956.0,132,1
1036382476,886.0,145,1
1036388193,2257.0,26,2
1036389286,1233.0,154,1
1036390960,655.0,54,1
1036391553,1510.0,98,2
1036392306,1174.0,155,1
1036392358,1152.0,172,1
1036392787,1331.0,133,1
1036392804,3697.0,164,1
1036393826,497.0,146,1
1036396305,1160.0,145,2
1036399780,1347.0,114,1
1036402244,426.0,41,1
1036403144,1021.0,27,1
1036403342,2174.0,77,2
1036405089,1106.0,187,1
1036438025,810.5,190,1
1036438043,2297.0,100,3
1036439068,1374.5,144,1
1036441496,1109.0,100,1
1036442135,10137.0,17,4
1036442972,709.5,174,1
1036451399,4391.0,168,2
1036452545,13674.5,1,6
1036457229,4243.0,82,5
1036458355,6084.0,140,3
1036466621,490.0,33,1
1036471521,839.0,150,1
1036483173,1330.0,134,1
1036485547,1341.5,26,2
1036492200,1032.0,7,2
1036496565,1568.5,138,1
1036498027,817.0,116,2
1036500892,754.0,93,1
