money,recent,frequency
1102.0,98,1
1218.0,27,2
1562.0,117,1
1672.0,61,1
6479.5,61,3
24439.8,8,17
6346.0,168,1
3332.0,98,1
1964.0,19,3
4414.0,61,1
2097.0,160,1
937.0,163,1
3514.5,183,2
5834.5,44,5
4583.5,163,2
2738.0,35,2
1859.6599999999999,83,2
19972.5,30,10
13790.0,65,4
1829.0,189,1
4117.5,22,2
6377.0,175,2
2689.0,132,1
2626.0,98,3
8067.0,73,3
7659.0,14,2
6517.220000000001,35,3
2370.0,137,2
2054.0,11,1
3944.5,16,3
1312.0,185,1
2527.0,33,2
7465.5,1,4
4154.0,31,4
354.0,182,1
14382.0,18,4
11117.0,36,5
15963.0,10,6
6565.0,34,4
5576.0,142,2
1133.0,30,1
1704.0,82,1
10752.0,56,5
5498.0,98,2
2394.0,122,1
10463.0,71,5
3132.0,131,2
5504.0,117,3
1202.0,76,1
4457.5,56,3
989.0,151,1
2177.0,59,1
5553.0,13,4
11093.0,12,5
1528.0,44,1
3143.5,70,3
372.5,179,1
2866.0,143,2
1010.0,190,1
1348.0,175,1
24427.34,27,10
5552.5,147,2
1375.5,36,1
1408.0,158,1
2055.0,55,1
2643.0,166,1
1867.0,72,1
2001.0,160,1
2033.5,39,2
1586.0,38,1
1480.5,73,1
905.0,92,1
3865.0,83,3
2094.0,90,1
431.5,167,1
4464.5,179,1
1405.5,71,1
2465.0,6,1
1318.5,91,2
2803.0,142,1
2320.0,148,1
3232.5,35,2
842.0,151,1
2583.5,145,1
929.0,71,1
1146.0,185,1
7818.0,42,3
10922.5,128,6
22678.5,9,10
2.0,98,1
1804.5,14,2
2360.0,85,3
982.0,92,2
622.0,178,1
3628.0,32,2
3203.0,115,2
516.0,127,1
2559.0,153,1
671.0,56,1
656.0,149,1
876.5,77,1
12.0,62,1
2030.0,186,1
1033.0,146,1
891.0,170,1
1379.5,29,1
1517.0,155,1
1147.0,53,1
2153.5,61,2
1611.5,166,1
1841.5,151,1
665.0,153,1
1127.0,34,1
1493.5,131,3
1412.0,33,1
685.5,102,1
1874.0,54,1
1620.0,103,1
2290.0,20,4
1578.0,103,1
1001.0,20,1
540.0,150,1
2030.0,191,1
3250.0,7,3
1116.0,92,1
2439.0,166,2
798.0,143,1
1301.0,118,1
1918.0,146,1
955.5,106,1
5822.0,154,1
521.5,175,1
1315.0,175,1
1610.0,131,1
733.0,72,1
454.0,125,1
10669.5,104,7
5519.5,112,4
1182.0,97,1
2207.0,139,2
1061.0,43,2
1093.0,152,1
1042.0,90,1
499.0,40,1
730.0,105,1
613.0,191,1
1310.0,42,1
1335.0,7,2
7041.0,13,9
559.0,111,1
1228.0,62,1
1094.0,16,1
1154.5,125,1
1227.0,101,2
640.0,133,1
961.0,69,1
1780.0,79,1
1304.0,166,1
700.0,78,1
3617.0,22,4
2433.5,8,2
956.0,132,1
886.0,145,1
2257.0,26,2
1233.0,154,1
655.0,54,1
1510.0,98,2
1174.0,155,1
1152.0,172,1
1331.0,133,1
3697.0,164,1
497.0,146,1
1160.0,145,2
1347.0,114,1
426.0,41,1
1021.0,27,1
2174.0,77,2
1106.0,187,1
6209.84,178,1
810.5,190,1
2297.0,100,3
1374.5,144,1
1109.0,100,1
10137.0,17,4
709.5,174,1
4391.0,168,2
13674.5,1,6
4243.0,82,5
6084.0,140,3
490.0,33,1
839.0,150,1
1330.0,134,1
1341.5,26,2
1032.0,7,2
1568.5,138,1
817.0,116,2
754.0,93,1
4109.0,67,3
743.0,135,1
1901.5,123,2
672.0,30,1
1216.0,129,1
2064.5,82,1
3494.0,23,2
1515.0,47,1
1190.0,132,1
872.0,139,1
1752.0,99,1
419.0,141,1
371.5,176,1
1104.0,187,1
1230.0,19,2
670.0,39,1
1222.5,126,2
2013.0,128,1
481.0,145,1
2091.0,128,1
1815.0,42,1
17491.0,126,5
3313.0,99,5
818.0,16,1
3834.0,8,3
574.0,109,1
2576.5,90,3
1965.0,44,2
3953.0,32,4
3504.5,4,3
1314.5,181,1
1065.5,5,1
1503.5,159,1
571.0,130,1
433.0,145,1
424.0,184,1
3658.0,58,3
2675.0,192,1
4540.0,188,1
1786.0,132,1
3313.0,154,2
840.5,183,1
1307.5,57,3
737.5,138,1
723.0,192,1
4035.5,145,3
1753.0,64,1
2761.5,21,4
4070.5,8,6
552.0,68,1
7173.5,15,3
1949.0,71,1
1331.0,180,1
3569.0,20,2
3409.0,168,1
1057.0,171,1
3019.5,142,2
1002.5,105,1
3106.0,153,1
404.0,33,1
2627.5,48,1
2620.0,142,1
2425.0,132,1
2222.0,166,1
13091.2,2,8
6579.0,3,4
14131.5,1,3
4463.5,159,1
4675.5,95,3
2431.5,55,2
1028.0,191,1
21015.5,81,5
1498.0,173,1
18054.0,21,14
2659.0,150,2
2177.0,145,1
2190.0,154,1
41940.0,26,9
13144.5,54,7
10349.5,55,5
2221.5,121,2
978.0,192,1
2829.0,148,2
5925.0,73,5
3396.0,12,2
8125.5,19,7
3334.0,104,1
4332.5,121,5
6641.0,7,4
1988.0,181,1
2422.5,99,2
1838.0,118,1
7817.0,77,2
7565.5,61,3
10365.0,38,3
1384.0,156,1
15974.0,51,11
2214.0,151,1
11555.0,61,5
7747.5,55,3
4269.0,156,1
9662.0,6,7
2417.0,188,1
20952.5,3,12
4152.0,17,2
2262.0,104,5
4126.26,64,4
6471.5,71,4
2061.0,108,2
3383.0,98,2
12883.5,77,12
435.0,98,1
980.0,124,1
2731.0,81,3
10576.5,45,3
4869.0,96,2
6536.5,190,1
2410.0,192,1
5503.0,59,4
1920.5,40,2
1264.5,113,1
2175.0,79,2
3790.5,66,5
2410.0,73,1
2379.0,11,3
2751.0,71,1
5023.0,14,3
1621.0,115,1
1673.0,181,1
1011.0,181,1
1142.0,32,1
5484.5,102,4
4065.5,14,3
25829.5,21,9
2092.5,110,1
14708.0,112,4
1919.0,104,1
753.0,122,1
2128.0,157,1
1668.5,35,1
8110.68,13,5
3311.0,155,2
1688.5,170,1
8385.0,153,3
4289.5,71,3
1602.5,142,1
7951.0,24,5
764.0,30,1
5805.0,22,5
3612.0,28,2
1807.0,62,1
4151.0,105,1
4891.0,82,2
5904.5,38,4
15416.0,85,4
1600.0,27,1
7015.5,21,6
5621.0,166,1
11349.5,3,6
12653.0,100,6
958.0,174,1
5702.5,133,3
4628.0,37,1
902.0,166,1
1180.5,69,1
5840.0,61,2
5536.0,7,1
911.5,159,1
15542.0,35,5
4330.0,73,2
720.0,103,1
1090.0,78,2
1704.0,140,1
1059.0,176,1
612.0,110,1
2535.5,98,1
3095.36,145,1
2973.0,178,1
2881.0,161,1
1778.5,148,1
2741.0,49,1
1321.0,166,1
1273.0,130,1
500.5,73,1
90.0,35,1
1243.0,162,1
802.0,41,1
1132.0,42,1
3872.5,127,1
731.0,19,1
5477.0,82,2
3738.0,54,2
7338.5,53,4
2947.0,93,1
2764.0,98,1
1329.5,112,1
661.0,15,1
4625.0,32,3
4916.0,72,2
3071.0,148,2
10183.0,71,1
5712.5,4,5
2037.0,37,2
1134.0,172,1
1428.0,152,1
3832.5,91,1
1011.0,36,1
612.5,189,1
9390.0,8,3
1755.0,17,2
5391.5,1,2
6461.0,13,4
29766.64,11,14
5842.5,12,3
644.0,105,1
625.0,7,1
1961.0,104,2
936.5,45,1
1622.0,95,1
677.0,93,1
1047.5,3,1
962.0,15,1
1129.0,153,1
2450.5,118,2
814.0,140,1
1169.5,83,2
3062.0,109,2
3953.5,75,4
1690.0,66,2
781.0,185,1
2173.0,41,1
1088.0,182,1
1367.0,145,1
2137.0,5,1
2739.0,152,2
581.5,129,1
737.0,50,1
1175.0,187,1
