会员编号,money,recent,frequency,sex,age
1036568938,4540.0,188,27,2,26
1036570992,1786.0,132,25,1,28
1036573224,840.5,183,23,2,26
1036575155,1307.5,57,54,1,35
1036575622,737.5,138,15,1,32
1036584927,723.0,192,20,1,29
1036588741,4035.5,145,77,1,34
1036755192,1753.0,64,27,2,41
1036784305,2761.5,21,76,2,26
1036784515,4070.5,8,109,1,33
1036789761,552.0,68,22,2,25
1036799223,7173.5,15,92,2,30
1036799224,1949.0,71,31,2,36
1036799225,1331.0,180,20,1,36
1036799226,3569.0,20,53,2,36
1036799227,3409.0,168,34,1,36
1036799228,1057.0,171,21,2,36
1036799231,3019.5,142,45,2,36
1036799233,1002.5,105,21,2,32
1036799234,3106.0,153,25,2,36
1036799235,404.0,33,15,2,36
1036799236,2627.5,48,23,2,36
1036799237,2620.0,142,25,1,36
1036799238,2425.0,132,22,2,43
1036799239,2222.0,166,25,2,43
1036799240,13091.2,2,235,1,36
1036799241,6579.0,3,92,1,36
1036799243,14131.5,1,70,1,36
1036799244,4463.5,159,31,1,36
1036799245,4675.5,95,72,1,55
1036799246,2431.5,55,46,1,54
1036799247,1028.0,191,18,2,36
1036799248,17121.5,81,128,2,36
1036799249,1498.0,173,24,1,36
1036799250,17905.0,21,281,2,30
1036799252,2659.0,150,49,2,36
1036799258,2177.0,145,34,2,36
1036799260,2190.0,154,22,1,41
1036799261,40548.5,26,282,2,42
1036799269,13144.5,54,153,1,36
1036799271,10343.0,55,124,2,36
1036799274,2221.5,121,47,1,36
1036799276,978.0,192,18,2,36
1036799280,2829.0,148,43,2,36
1036799281,5925.0,73,122,2,36
1036799282,3396.0,12,58,1,36
1036799283,8125.5,19,161,1,36
1036799284,1717.0,104,24,2,36
1036799285,4332.5,121,99,1,36
1036799289,6641.0,7,102,2,36
1036799290,1988.0,181,28,2,36
1036799291,2422.5,99,38,2,36
1036799294,1838.0,118,24,2,36
1036799298,7619.0,77,69,1,36
1036799301,7565.5,61,91,2,36
1036799305,8957.0,38,92,1,36
1036799307,1384.0,156,21,2,36
1036799308,15974.0,51,241,2,37
1036799309,2214.0,151,23,2,36
1036799310,8496.0,61,118,2,36
1036799312,7747.5,55,88,1,39
1036799313,4269.0,156,35,1,36
1036799314,9662.0,6,140,1,44
1036799317,2417.0,188,29,2,36
1036799318,20952.5,3,275,1,43
1036799320,4152.0,17,47,2,36
1036799324,2262.0,104,90,1,37
1036799326,4126.26,64,95,1,36
1036799328,6471.5,71,96,1,36
1036799329,2061.0,108,43,2,36
1036799333,3383.0,98,47,1,36
1036799334,12883.5,77,244,2,36
1036799338,435.0,98,19,1,34
1036799339,980.0,124,19,2,36
1036799344,2731.0,81,69,2,36
1036799349,10162.5,45,116,2,36
1036799350,4869.0,96,53,2,36
1036799354,6226.5,190,51,2,36
1036799355,2410.0,192,26,1,36
1036799356,5503.0,59,101,2,36
1036799365,1920.5,40,41,2,36
1036799373,1264.5,113,20,2,39
1036799375,2175.0,79,50,1,36
1036799380,3790.5,66,98,1,27
1036799382,2410.0,73,28,1,36
1036799383,2379.0,11,75,2,36
1036799389,2751.0,71,22,2,36
1036799392,5023.0,14,66,2,36
1036799401,1621.0,115,24,1,33
1036799412,1673.0,181,26,2,40
1036799418,1011.0,181,21,2,47
1036799425,4065.5,14,75,1,33
1036799428,13668.5,112,117,2,38
1036799449,8110.68,13,112,2,35
1036799457,1688.5,170,21,1,48
1036799473,5805.0,22,96,2,25
1036799474,1797.0,28,22,1,51
1036799478,1807.0,62,26,1,47
1036799495,5904.5,38,111,1,37
1036799501,15404.0,85,118,1,51
1036799507,1600.0,27,28,1,31
1036799516,11349.5,3,148,1,47
1036799544,5536.0,7,28,1,41
1036799558,15542.0,35,147,2,31
1036799609,2973.0,178,26,2,35
1036799626,2741.0,49,33,1,37
1036799640,1321.0,166,20,1,32
1036799659,500.5,73,21,1,39
