会员编号,money,recent,frequency,sex,age
1036164532,218.0,40,13,1,25
1036164821,334.5,40,20,2,37
1036165220,169.0,40,11,1,30
1036165918,345.51,39,22,2,24
1036165995,509.0,40,17,2,37
1036166629,228.0,40,15,2,30
1036167071,348.5,40,20,2,37
1036167258,329.0,40,18,1,37
1036167808,153.0,40,13,1,23
1036168020,310.0,40,20,2,24
1036168454,410.0,40,20,1,28
1036168727,283.0,40,16,1,60
1036168787,300.0,40,18,1,26
1036169289,362.0,40,18,2,31
1036169348,293.0,40,16,2,26
1036169819,1881.0,40,26,2,32
1036170069,577.0,40,24,2,28
1036170159,4.0,1,2,1,31
1036170160,284.0,40,15,2,33
1036170176,219.0,40,14,2,32
1036171323,538.0,40,23,2,31
1036172459,246.0,40,17,2,49
1036172640,270.5,40,19,2,37
1036173039,665.0,20,20,2,41
1036173052,693.5,40,17,2,30
1036173484,291.0,40,18,2,24
1036174843,1372.0,40,24,2,31
1036175274,195.5,40,16,1,41
1036176075,190.5,40,13,1,33
1036176653,178.0,40,12,2,40
1036177394,20.0,33,2,2,27
1036179275,498.0,1,18,1,32
1036179665,1081.5,23,26,1,19
1036180403,632.0,24,19,2,32
1036183229,239.0,39,15,1,29
1036187165,438.0,39,19,1,45
1036187371,182.0,39,14,1,32
1036187718,181.0,39,12,2,22
1036188906,2728.0,33,32,1,31
1036189579,248.5,39,15,2,43
1036189884,197.5,39,16,1,29
1036190532,220.5,39,14,1,25
1036190606,360.0,39,17,1,31
1036190840,255.0,39,17,2,37
1036190924,173.0,39,9,1,30
1036191020,214.0,39,15,1,30
1036192114,210.0,39,13,1,33
1036192643,2113.0,39,26,1,26
1036193074,724.0,39,23,1,28
1036194663,171.0,39,12,1,29
1036194950,668.5,27,23,1,29
1036195263,279.0,39,14,2,37
1036196335,291.5,39,19,1,35
1036220319,230.0,39,17,1,31
1036224674,190.0,39,13,2,31
1036224684,655.0,39,20,1,27
1036224778,203.5,39,19,1,36
1036225786,193.0,39,12,1,27
1036228441,179.5,39,14,1,50
1036229471,353.0,39,17,1,37
1036229780,1951.5,17,27,2,40
1036231044,428.0,39,24,2,43
1036231158,336.0,39,17,2,29
1036231391,142.5,39,12,1,29
1036231408,287.0,39,18,2,43
1036231786,263.0,39,15,2,37
1036231874,252.0,39,20,1,25
1036233086,302.0,39,16,2,41
1036233726,180.5,39,14,2,32
1036234421,1200.0,32,20,1,40
1036235052,394.0,39,26,2,38
1036235428,178.0,39,13,1,23
1036235540,256.0,39,14,1,28
1036235600,255.5,39,17,1,50
1036235873,717.5,30,31,2,30
1036235948,181.0,39,12,2,27
1036235983,167.0,34,11,1,31
1036236068,220.01,39,15,1,39
1036236109,274.5,39,21,2,31
1036236704,946.0,32,21,2,30
1036236789,542.0,36,35,2,13
1036238542,346.5,39,24,2,33
1036240079,257.5,39,18,1,43
1036240344,355.5,35,25,2,31
1036242519,204.0,39,13,2,43
1036242721,276.5,39,14,1,25
1036242842,382.5,39,23,2,37
1036243108,325.51,39,18,1,37
1036246310,2222.0,39,27,1,37
1036246819,387.5,39,22,1,28
1036247244,416.5,39,20,2,35
1036248906,217.0,39,12,1,27
1036249432,269.0,39,20,1,35
1036249450,273.0,39,16,2,20
1036249539,738.0,39,18,1,12
1036249913,203.0,39,13,2,25
1036251700,200.5,39,15,2,41
1036252057,335.0,39,24,1,42
1036252077,1008.5,39,26,1,28
1036252816,279.5,39,19,1,41
1036252882,1558.0,39,23,1,16
1036253396,1069.5,39,23,1,33
1036253407,238.0,39,16,2,33
1036253948,959.0,39,22,1,32
1036254074,355.5,39,19,1,23
1036255177,193.0,39,14,2,25
1036255641,109.0,39,11,1,36
1036255802,209.5,39,13,1,23
1036256201,291.0,39,19,2,29
1036256882,190.0,39,11,2,30
1036257007,259.0,39,17,2,39
1036257266,154.0,39,15,1,29
1036257709,361.0,39,20,2,37
1036258041,1811.0,39,26,1,34
1036258761,298.5,39,15,1,31
1036259025,196.5,39,12,2,29
1036259809,225.5,39,18,2,41
1036259994,180.0,39,14,1,34
1036260354,424.5,39,26,1,29
1036260702,222.0,39,16,2,39
1036260777,314.0,39,17,2,32
1036260865,171.0,39,14,2,39
1036261141,200.0,39,13,2,38
1036261266,225.5,39,20,1,21
1036261855,361.5,39,18,2,28
1036262408,415.5,39,24,2,39
1036262500,267.0,39,13,1,35
1036262781,245.0,39,17,2,39
1036262891,1122.5,39,27,1,23
1036263250,969.0699999999999,19,24,1,23
1036263345,317.0,39,17,1,21
1036263530,1011.0,39,21,2,53
1036264985,259.0,39,18,2,40
1036265417,508.0,39,17,1,35
1036265540,319.0,39,18,2,37
1036265606,334.0,39,24,1,43
1036266020,153.0,39,15,2,25
1036267594,1600.0,39,25,1,20
1036267975,1443.0,39,22,2,22
1036268560,312.0,39,21,2,41
1036268643,1598.0,10,23,1,25
1036268866,2242.0,39,27,2,37
1036269651,292.0,39,17,2,42
1036269663,355.5,39,18,1,29
1036269669,616.0,23,32,1,35
1036269710,242.5,39,15,1,22
1036270251,181.51,39,14,1,36
1036270624,1242.0,39,24,1,38
1036271484,567.0,38,29,2,32
1036271761,210.0,39,15,1,22
1036272041,8114.5,39,33,2,21
1036311750,185.5,38,13,2,44
1036313162,176.0,38,10,1,37
1036314631,166.5,38,10,2,28
1036314716,150.0,38,17,1,33
1036314777,198.0,38,17,2,48
1036315220,395.0,38,18,1,56
1036317965,191.5,38,15,1,34
1036319792,384.5,38,19,2,45
1036323531,250.5,38,12,2,48
1036324183,270.0,38,15,2,39
1036324799,246.5,38,14,1,29
1036324879,248.0,38,17,2,33
1036327496,227.0,38,15,2,39
1036327567,389.0,38,18,2,45
1036328492,313.5,38,15,1,37
1036328609,164.5,38,10,1,25
1036330143,138.0,38,13,2,31
1036330777,2126.5,28,47,1,37
1036330781,210.0,38,16,1,32
1036331087,645.0,38,16,1,26
1036331150,613.0,38,15,2,20
1036331551,208.0,38,13,1,29
1036331865,318.5,38,18,2,36
1036331954,717.0,38,22,2,49
1036332371,299.0,38,15,1,36
1036332762,848.0,38,18,2,37
1036332769,170.5,38,11,1,49
1036332921,333.0,38,19,2,38
1036333429,240.0,38,17,2,30
1036333721,841.5,24,19,1,23
1036333883,905.0,38,22,2,26
1036334698,338.0,38,16,2,30
1036334906,282.5,38,14,2,24
1036335126,278.5,38,16,1,54
1036335271,248.5,38,17,1,32
1036335519,244.0,38,15,2,31
1036335574,836.0,3,32,2,32
1036335740,300.0,38,18,1,55
1036336297,1184.5,38,19,2,28
1036337002,248.5,38,19,1,35
1036337049,240.0,38,14,2,36
1036337571,444.0,38,25,2,28
1036338763,205.0,38,12,2,38
1036339453,399.0,38,22,2,43
1036340223,291.01,38,13,2,45
1036342391,412.0,38,14,1,28
1036342805,882.0,14,40,2,42
1036344778,206.0,38,14,2,27
1036347072,170.5,38,12,2,33
1036347836,377.5,38,17,1,25
1036351821,1188.5,23,38,1,29
1036359292,368.5,38,24,1,37
1036362613,188.5,38,11,2,31
1036363963,341.0,38,17,2,35
1036364725,367.0,38,18,1,33
1036365236,218.0,38,16,1,34
1036365712,463.0,38,21,1,29
1036365864,285.0,38,15,2,48
1036366580,350.5,38,19,2,28
1036366872,193.5,38,12,2,27
1036367311,488.0,38,24,1,53
1036368138,212.5,38,15,2,35
1036368260,171.0,38,12,2,48
1036371790,176.5,38,13,2,50
1036372165,368.0,38,14,2,29
1036372347,799.0,18,23,1,25
1036372808,350.5,38,19,2,45
1036374713,290.0,38,19,2,25
1036374971,148.5,38,11,2,24
1036377430,951.5,20,36,1,32
1036378623,357.0,38,19,1,44
1036378839,310.0,38,18,1,31
1036379215,450.0,38,18,1,33
1036379305,151.0,38,12,2,46
1036380273,340.0,38,17,1,42
1036380903,1330.5,18,22,1,29
1036382476,333.0,38,20,2,36
1036384700,183.5,38,11,2,33
1036384858,242.0,38,15,1,23
1036385416,212.5,33,16,1,26
1036385849,326.5,38,20,2,27
1036386098,210.5,38,15,1,23
1036386139,372.0,38,18,1,37
1036386985,326.0,38,20,2,30
1036387216,575.0,38,17,2,31
1036387270,228.0,38,13,1,38
1036387280,349.5,38,22,1,27
1036387458,263.0,38,20,2,32
1036387584,308.0,38,17,2,46
1036389147,897.0,38,23,2,36
1036390801,5408.0,38,34,2,32
1036390960,896.0,38,18,1,37
1036391074,286.0,38,18,2,41
1036391553,228.0,38,13,1,28
1036391922,183.0,38,12,1,26
1036392085,178.0,38,14,2,29
1036392776,230.5,38,15,2,48
1036392787,156.0,38,11,2,43
1036392804,403.5,38,19,2,52
1036393257,289.5,38,16,2,37
1036393347,318.0,38,18,2,34
1036393826,383.5,38,18,2,22
1036394752,278.5,38,18,2,38
1036395867,182.5,38,11,2,26
1036396305,196.0,38,11,2,14
1036397029,253.0,38,13,2,28
1036397359,252.0,38,13,1,24
1036398058,493.5,38,19,2,41
1036398079,538.0,31,20,1,19
1036398264,129.0,38,12,2,46
1036398322,172.0,38,14,1,26
1036398449,188.0,38,11,1,37
1036398475,441.0,38,24,1,37
1036398733,429.5,38,22,1,34
1036399031,610.0,38,24,2,36
1036399038,207.5,38,14,2,26
1036399094,445.0,38,18,2,37
1036399251,327.0,38,19,2,31
1036399708,245.0,38,15,2,29
1036400154,1911.0,10,42,2,39
1036400489,198.5,38,17,2,32
1036400597,543.0,38,25,1,54
1036400848,880.5,38,23,1,29
1036400873,175.5,38,13,2,26
1036400888,691.0,25,22,1,25
1036400910,344.0,38,19,1,29
1036400971,192.5,38,12,2,23
1036401526,256.0,38,15,1,41
1036402057,324.0,38,22,2,30
1036402244,118.0,38,11,1,34
1036402614,222.5,38,15,2,26
1036402663,356.0,38,20,1,31
1036403144,334.0,38,19,1,25
1036403181,344.5,38,19,2,25
1036403341,221.5,38,15,1,29
1036403342,293.5,38,18,2,30
1036403439,172.5,38,12,1,30
1036404202,863.0,38,20,2,31
1036404918,186.0,38,13,2,45
1036405742,199.5,38,14,2,37
1036406190,176.5,38,10,2,33
1036406338,254.5,38,14,2,27
1036407155,251.0,38,15,2,29
1036408341,610.0,38,19,2,34
1036437973,2532.0,37,27,1,40
1036438025,306.0,37,18,2,25
1036439068,447.0,37,25,1,33
1036441496,304.5,37,13,1,25
1036442135,2045.0,20,46,1,28
1036443251,244.0,37,19,2,30
1036444186,300.0,37,14,1,34
1036444353,273.0,37,16,2,32
1036445552,196.5,37,14,2,32
1036445816,370.51,37,18,1,33
1036448110,298.0,37,16,1,36
1036448168,1574.0,37,25,1,57
1036451283,307.5,37,18,1,53
